wan

strong OFF
id,tc1,tc2,tp1,Reciprocity,tp2,#out_edges,#in_edges
6,0.042,0.178,0.041,0.429,0.226,9,11
7,0.000,0.000,0.000,1.000,0.000,1,1
8,0.028,0.121,0.060,0.444,0.193,8,5
9,0.000,0.000,0.000,0.333,0.000,1,3
10,0.011,0.104,0.016,0.571,0.079,7,4
11,0.034,0.230,0.067,0.350,0.250,18,9
12,0.033,0.098,0.015,0.222,0.133,3,8
13,0.042,0.134,0.030,0.143,0.233,3,5
14,0.006,0.125,0.027,0.250,0.267,4,1
15,0.011,0.148,0.022,0.375,0.125,8,3
16,0.065,0.362,0.071,0.750,0.336,11,10
17,1.000,1.000,1.000,1.000,1.000,0,0
18,0.000,0.000,0.000,1.000,0.000,1,1
19,0.000,0.000,0.000,1.000,0.000,1,1
20,0.016,0.072,0.031,0.250,0.173,5,5
21,0.118,0.113,0.091,0.750,0.150,3,4
22,0.000,0.000,0.000,0.500,0.000,1,2
23,0.032,0.154,0.038,0.357,0.229,9,10
24,0.040,0.123,0.028,0.250,0.127,10,15
25,0.029,0.098,0.033,0.400,0.189,6,8
26,0.012,0.146,0.026,0.250,0.128,7,3
27,0.068,0.330,0.080,0.750,0.277,12,9
28,0.058,0.258,0.057,0.750,0.243,10,11
29,0.034,0.125,0.000,0.250,0.000,1,4
30,0.026,0.094,0.019,0.833,0.097,5,6
31,0.044,0.222,0.032,0.750,0.296,6,8
32,0.022,0.073,0.024,0.400,0.085,3,4
33,1.000,0.000,1.000,0.000,1.000,0,3
34,0.049,0.233,0.070,0.412,0.193,15,9
35,0.069,0.262,0.049,0.545,0.277,6,11
36,0.039,0.238,0.084,0.370,0.214,27,10
37,0.044,0.212,0.055,0.765,0.237,16,14
38,0.000,0.000,0.039,0.059,0.069,17,1
