bms

strong OFF
id,tc1,tc2,tp1,Reciprocity,tp2,#out_edges,#in_edges
95,0.008,0.018,0.036,0.000,0.109,6,4
96,0.000,0.000,0.017,0.143,0.049,6,2
97,0.004,0.036,0.018,0.000,0.067,10,2
98,0.048,0.127,0.013,0.333,0.065,3,5
99,0.021,0.045,0.008,0.250,0.016,4,6
100,1.000,0.000,1.000,0.000,1.000,0,4
101,0.000,0.000,0.000,0.500,0.000,1,2
102,0.019,0.038,0.030,0.222,0.078,7,4
103,1.000,0.000,1.000,0.000,1.000,0,4
104,0.000,0.000,0.022,0.000,0.083,3,6
105,0.006,0.016,0.000,0.375,0.000,4,7
106,0.030,0.025,0.009,0.000,0.024,6,6
107,0.000,0.000,0.000,0.000,0.000,1,3
108,0.028,0.043,0.000,0.182,0.000,3,10
109,0.000,0.000,0.018,0.000,0.033,11,6
110,1.000,0.000,1.000,0.000,1.000,0,3
111,0.000,0.000,0.024,0.167,0.022,5,2
112,1.000,0.000,1.000,0.000,1.000,0,6
113,0.011,0.043,0.032,0.357,0.075,13,6
114,0.000,0.000,0.009,0.000,0.083,3,1
115,1.000,0.000,1.000,0.000,1.000,0,1
116,0.014,0.022,0.009,0.188,0.031,7,12
117,0.000,0.000,0.000,0.000,0.000,1,2
118,0.021,0.047,0.005,0.091,0.012,5,7
119,1.000,0.000,1.000,0.000,1.000,0,3
120,0.000,0.000,0.000,0.000,0.000,3,2
121,0.012,0.044,0.020,0.143,0.095,5,3
122,0.014,0.056,0.000,0.000,0.000,2,2
123,0.008,0.012,0.011,0.125,0.032,4,5
124,0.014,0.026,0.000,0.111,0.000,3,7
125,0.000,0.000,0.000,0.143,0.000,4,4
126,0.000,0.000,0.023,0.077,0.044,11,3
127,1.000,0.000,1.000,0.000,1.000,0,3
128,0.000,0.000,0.000,0.000,0.000,1,3
129,0.000,0.000,0.018,0.000,0.062,2,1
130,0.000,0.000,0.000,0.000,0.000,1,4
131,0.000,0.000,0.014,0.000,0.042,2,1
132,0.007,0.023,0.005,0.600,0.021,4,4
133,0.011,0.279,0.017,0.444,0.111,8,5
134,0.000,0.000,0.000,0.200,0.000,2,4
135,0.000,0.000,0.000,0.000,0.000,1,6
136,0.000,0.000,0.000,0.333,0.000,2,2
137,0.000,0.000,0.031,0.000,0.066,6,1
138,0.005,0.143,0.004,0.400,0.024,4,3
139,0.000,0.000,0.000,0.250,0.000,2,3
140,1.000,0.000,1.000,0.000,1.000,0,2
141,0.010,0.030,0.012,0.538,0.034,12,8
142,1.000,0.000,1.000,0.000,1.000,0,5
143,0.000,0.000,0.000,0.000,0.000,1,4
144,0.029,0.008,0.000,0.000,0.000,1,9
145,0.000,0.000,0.000,0.000,0.000,1,1
146,0.000,0.000,0.000,0.200,0.000,2,4
147,0.000,0.000,0.000,0.250,0.000,1,4
148,0.000,0.000,0.000,0.286,0.000,4,5
149,0.003,0.286,0.004,0.000,0.085,4,1
150,0.000,0.000,0.000,0.000,0.000,2,2
151,0.000,0.000,0.000,0.200,0.000,4,2
152,1.000,0.000,1.000,0.000,1.000,0,3

OFF
